epoch	lr	acc	loss	val_acc	val_loss	delta_ema
94	1.0e-03	0.7730	0.9047	0.6356	1.6026	0.00970
95	1.0e-03	0.7732	0.9073	0.6387	1.5741	0.00813
96	1.0e-03	0.7744	0.9013	0.6369	1.5925	0.00863
97	1.0e-03	0.7719	0.9028	0.6494	1.5207	0.00752
98	1.0e-03	0.7772	0.8933	0.6462	1.5367	0.00777
99	1.0e-03	0.7774	0.8899	0.6416	1.5815	0.00718
100	1.0e-03	0.7778	0.8824	0.6499	1.5554	0.00782
101	1.0e-03	0.7771	0.8877	0.6483	1.5422	0.00624
102	1.0e-03	0.7797	0.8806	0.6313	1.6286	0.00666
103	1.0e-03	0.7819	0.8666	0.6452	1.5696	0.00799
104	1.0e-03	0.7823	0.8668	0.6462	1.5632	0.00763
105	1.0e-03	0.7836	0.8671	0.6405	1.5458	0.00704
106	1.0e-03	0.7855	0.8597	0.6404	1.5967	0.00702
107	1.0e-03	0.7848	0.8628	0.6550	1.5517	0.00596
108	1.0e-03	0.7865	0.8573	0.6312	1.6294	0.00537
109	1.0e-03	0.7879	0.8501	0.6427	1.6057	0.00612
110	1.0e-03	0.7917	0.8427	0.6450	1.5641	0.00703
111	1.0e-03	0.7893	0.8465	0.6523	1.5479	0.00608
112	1.0e-03	0.7917	0.8375	0.6519	1.5823	0.00684
113	1.0e-03	0.7940	0.8300	0.6439	1.6152	0.00759
114	1.0e-03	0.7922	0.8256	0.6483	1.6161	0.00841
115	1.0e-03	0.7905	0.8373	0.6266	1.6641	0.00577
116	1.0e-03	0.7932	0.8260	0.6406	1.6100	0.00555
117	1.0e-03	0.7939	0.8237	0.6523	1.5995	0.00528
118	1.0e-03	0.7970	0.8180	0.6318	1.6516	0.00587
119	1.0e-03	0.7962	0.8177	0.6340	1.6492	0.00522
120	1.0e-03	0.7969	0.8129	0.6431	1.5949	0.00541
121	1.0e-03	0.7974	0.8138	0.6426	1.6167	0.00490
122	1.0e-03	0.7968	0.8170	0.6453	1.6021	0.00340
123	1.0e-03	0.7992	0.8125	0.6379	1.6282	0.00296
124	1.0e-03	0.8024	0.7992	0.6428	1.6054	0.00493
125	1.0e-03	0.8036	0.7936	0.6477	1.6416	0.00623
126	1.0e-03	0.8023	0.8001	0.6429	1.6273	0.00519
127	1.0e-03	0.8045	0.7924	0.6422	1.5872	0.00545
128	1.0e-03	0.8037	0.7892	0.6476	1.5813	0.00556
129	1.0e-03	0.8046	0.7911	0.6454	1.6089	0.00467
130	1.0e-03	0.8051	0.7845	0.6348	1.6449	0.00529
131	1.0e-03	0.8083	0.7706	0.6404	1.6490	0.00719
132	1.0e-03	0.8074	0.7787	0.6445	1.6139	0.00576
133	1.0e-03	0.8068	0.7731	0.6498	1.5674	0.00551
134	1.0e-03	0.8114	0.7653	0.6472	1.5936	0.00633
135	1.0e-03	0.8105	0.7704	0.6499	1.5799	0.00547
136	1.0e-03	0.8106	0.7714	0.6545	1.5624	0.00399
137	1.0e-03	0.8111	0.7661	0.6517	1.5812	0.00368
138	1.0e-03	0.8113	0.7572	0.6528	1.5892	0.00497
139	1.0e-03	0.8136	0.7590	0.6496	1.6020	0.00459
140	1.0e-03	0.8117	0.7614	0.6510	1.6098	0.00366
141	1.0e-03	0.8143	0.7560	0.6441	1.6109	0.00342
142	1.0e-03	0.8155	0.7493	0.6394	1.6449	0.00413
143	1.0e-03	0.8163	0.7490	0.6506	1.5897	0.00425
144	1.0e-03	0.8166	0.7422	0.6463	1.6097	0.00458
145	1.0e-03	0.8160	0.7501	0.6440	1.6511	0.00321
146	1.0e-03	0.8152	0.7420	0.6448	1.6283	0.00381
147	1.0e-03	0.8180	0.7438	0.6309	1.6875	0.00356
148	1.0e-03	0.8197	0.7362	0.6537	1.5879	0.00369
149	1.0e-03	0.8172	0.7392	0.6373	1.6523	0.00325
150	1.0e-03	0.8198	0.7334	0.6558	1.5884	0.00355
151	1.0e-03	0.8212	0.7291	0.6484	1.6258	0.00377
152	1.0e-03	0.8210	0.7316	0.6352	1.6877	0.00336
153	1.0e-03	0.8209	0.7286	0.6564	1.5824	0.00285
154	1.0e-03	0.8230	0.7166	0.6428	1.6365	0.00476
155	1.0e-03	0.8230	0.7260	0.6477	1.6063	0.00354
156	1.0e-03	0.8232	0.7218	0.6547	1.6043	0.00329
